ma_don,ma_bg,ngay_dat,ma_kh,ma_dai_ly,khu_vuc,nhan_vien_kd,gia_tri,hinh_thuc_tt,so_ngay_tra_cham
DH00001,BG0001,2026-04-13,KH01,DL10,Nam,Ngô Thị K,2751300000,tra_cham,0
DH00002,BG0002,2026-06-19,KH02,DL10,Nam,Ngô Thị K,3054026000,tra_truoc,0
DH00003,BG0003,2026-04-20,KH04,DL03,Bắc,Lê Văn C,290430000,tra_cham,75
DH00004,BG0004,2026-04-16,KH04,DL07,Trung,Đặng Văn G,11650989000,tra_truoc,0
DH00005,BG0005,2026-05-03,KH05,DL10,Nam,Ngô Thị K,769500000,tra_truoc,0
DH00006,BG0006,2026-05-06,KH06,DL03,Bắc,Lê Văn C,1100136000,tra_truoc,0
DH00007,BG0007,2026-04-27,KH07,DL08,Nam,Bùi Thị H,9000000000,tra_truoc,0
DH00008,BG0008,2026-03-04,KH08,DL02,Bắc,Trần Thị B,1704220000,tra_cham,30
DH00009,BG0009,2026-06-14,KH09,DL04,Bắc,Phạm Thị D,14171539000,tra_truoc,0
DH00010,BG0010,2026-06-19,KH10,DL04,Bắc,Phạm Thị D,769500000,tra_cham,60
DH00011,BG0011,2026-04-01,KH11,DL10,Nam,Ngô Thị K,619650000,tra_truoc,0
DH00012,BG0012,2026-03-19,KH12,DL02,Bắc,Trần Thị B,2538090000,tra_truoc,0
DH00013,BG0013,2026-04-27,KH01,DL05,Trung,Hoàng Văn E,9000000000,tra_truoc,0
DH00014,BG0014,2026-05-22,KH02,DL05,Trung,Hoàng Văn E,2144475000,tra_truoc,0
DH00015,BG0015,2026-03-06,KH03,DL07,Trung,Đặng Văn G,769500000,tra_truoc,0
DH00016,BG0016,2026-04-27,KH04,DL01,Bắc,Nguyễn Văn A,1452080000,tra_truoc,0
DH00017,BG0017,2026-04-08,KH05,DL10,Nam,Ngô Thị K,325860000,tra_truoc,0
DH00018,BG0018,2026-06-19,KH06,DL02,Bắc,Trần Thị B,2073034000,tra_truoc,0
DH00019,BG0019,2026-03-21,KH07,DL10,Nam,Ngô Thị K,636800000,tra_truoc,0
DH00020,BG0020,2026-06-01,KH08,DL03,Bắc,Lê Văn C,12914520000,tra_truoc,0
DH00021,BG0021,2026-04-21,KH09,DL02,Bắc,Trần Thị B,832680000,tra_cham,30
DH00022,BG0022,2026-06-08,KH10,DL02,Bắc,Trần Thị B,2847869000,tra_truoc,0
DH00023,BG0023,2026-04-10,KH11,DL08,Nam,Bùi Thị H,343440000,tra_cham,30
DH00024,BG0024,2026-05-20,KH12,DL07,Trung,Đặng Văn G,3415958000,tra_truoc,0
DH00025,BG0025,2026-03-19,KH01,DL05,Trung,Hoàng Văn E,893700000,tra_cham,30
DH00026,BG0026,2026-02-19,KH02,DL06,Trung,Vũ Thị F,1735830000,tra_truoc,0
DH00027,BG0027,2026-06-06,KH03,DL08,Nam,Bùi Thị H,1968570000,tra_cham,0
DH00028,BG0028,2026-03-13,KH04,DL08,Nam,Bùi Thị H,363792000,tra_cham,60
DH00029,BG0029,2026-05-20,KH05,DL03,Bắc,Lê Văn C,45780000,tra_truoc,0
DH00030,BG0030,2026-02-10,KH06,DL10,Nam,Ngô Thị K,491782000,tra_truoc,0
DH00031,BG0031,2026-07-15,KH07,DL06,Trung,Vũ Thị F,420437000,tra_cham,60
DH00032,BG0032,2026-07-01,KH08,DL09,Nam,Đỗ Văn I,764220000,tra_cham,0
DH00033,BG0033,2026-03-13,KH09,DL11,Nam,Phan Văn L,1275240000,tra_cham,30
DH00034,BG0034,2026-03-07,KH10,DL09,Nam,Đỗ Văn I,1196010000,tra_truoc,0
DH00035,BG0035,2026-03-13,KH11,DL11,Nam,Phan Văn L,92813000,tra_truoc,0
DH00036,BG0036,2026-03-16,KH12,DL03,Bắc,Lê Văn C,2384174000,tra_cham,30
DH00037,BG0037,2026-06-07,KH01,DL06,Trung,Vũ Thị F,2586930000,tra_truoc,0
DH00038,BG0038,2026-02-18,KH02,DL11,Nam,Phan Văn L,2711538000,tra_truoc,0
DH00039,BG0039,2026-05-19,KH03,DL11,Nam,Phan Văn L,466116000,tra_truoc,0
DH00040,BG0040,2026-03-02,KH04,DL05,Trung,Hoàng Văn E,2037865000,tra_truoc,0
DH00041,BG0041,2026-02-03,KH05,DL10,Nam,Ngô Thị K,1145620000,tra_cham,0
DH00042,BG0042,2026-01-25,KH06,DL07,Trung,Đặng Văn G,1250240000,tra_truoc,0
DH00043,BG0043,2026-05-07,KH07,DL08,Nam,Bùi Thị H,2447510000,tra_cham,30
DH00044,BG0044,2026-05-25,KH08,DL11,Nam,Phan Văn L,1145500000,tra_truoc,0
DH00045,BG0045,2026-02-12,KH09,DL07,Trung,Đặng Văn G,1350504000,tra_cham,45
DH00046,BG0046,2026-03-03,KH10,DL03,Bắc,Lê Văn C,2518128000,tra_truoc,0
DH00047,BG0047,2026-03-07,KH11,DL08,Nam,Bùi Thị H,2089780000,tra_truoc,0
DH00048,BG0048,2026-05-02,KH12,DL08,Nam,Bùi Thị H,470080000,tra_truoc,0
DH00049,BG0049,2026-06-03,KH01,DL09,Nam,Đỗ Văn I,186857000,tra_cham,60
DH00050,BG0050,2026-03-22,KH02,DL07,Trung,Đặng Văn G,3311567000,tra_truoc,0
DH00051,BG0051,2026-05-01,KH03,DL02,Bắc,Trần Thị B,699880000,tra_truoc,0
DH00052,BG0052,2026-04-17,KH04,DL09,Nam,Đỗ Văn I,929940000,tra_cham,60
DH00053,BG0001,2026-03-27,KH01,DL09,Nam,Đỗ Văn I,2389500000,tra_truoc,0
DH00054,BG0002,2026-05-19,KH02,DL05,Trung,Hoàng Văn E,203200000,tra_truoc,0
DH00055,BG0003,2026-03-19,KH03,DL11,Nam,Phan Văn L,677250000,tra_truoc,0
DH00056,BG0004,2026-04-21,KH04,DL02,Bắc,Trần Thị B,1054080000,tra_truoc,0
DH00057,BG0005,2026-05-24,KH05,DL08,Nam,Bùi Thị H,1189598000,tra_truoc,0
DH00058,BG0006,2026-04-28,KH06,DL03,Bắc,Lê Văn C,426561000,tra_truoc,0
DH00059,BG0007,2026-03-03,KH07,DL01,Bắc,Nguyễn Văn A,983880000,tra_cham,45
DH00060,BG0008,2026-03-07,KH08,DL05,Trung,Hoàng Văn E,307840000,tra_cham,60
DH00061,BG0009,2026-06-08,KH09,DL06,Trung,Vũ Thị F,2896650000,tra_cham,60
